Material,PR_ID,PR_Baseline,PO_ID,PO_Baseline,MR_ID,MR_Baseline,QC_ID,QC_Finish,Downstream_Activity,Required_Date,Vendor_Forecast,Status
Primary Steel - Sections and Plates,PR1000,2026-09-08,PO1000,2026-09-15,MR1000,2026-10-01,QC1130,2026-10-06,PFAB1000 Cutting & Edge Preparation,2026-10-07,,Open
Secondary Steel - Sections and Plates,PR1010,2026-09-08,PO1010,2026-09-15,MR1010,2026-10-01,QC1130,2026-10-06,PFAB1000 Cutting & Edge Preparation,2026-10-07,,Open
Tertiary Steel - Sections and Plates,PR1020,2026-09-08,PO1020,2026-09-15,MR1020,2026-10-01,QC1140,2026-10-06,HLFAB1000 Cutting and Preparation,2026-10-07,,Open
Pipe Support Materials,PR1030,2026-09-10,PO1030,2026-09-17,MR1030,2026-10-01,QC1150,2026-10-06,SFAB1000 Cutting and Preparation,2026-10-07,,Open
Gratings,PR1040,2026-09-12,PO1040,2026-09-17,MR1040,2026-11-11,,,ASSY1010 Installation of Gratings - Ground Floor,2026-11-14,,Open
Structural Bolts,PR1050,2026-09-12,PO1050,2026-09-17,MR1050,2026-10-22,,,ASSY1020 Lifting / Aligning / Bolting / Torquing,2026-11-17,,Open
Paints,PR1060,2026-09-23,PO1060,2026-09-28,MR1060,2026-10-19,,,FAB1070 Blasting and Painting,2026-11-04,,Open
Pipes,PR1070,2026-09-07,PO1070,2026-09-11,MR1070,2026-09-28,QC1160,2026-10-03,PIP1000 Pipe Cutting & WEP,2026-10-05,,Open
Flanges,PR1080,2026-09-09,PO1080,2026-09-12,MR1080,2026-09-29,QC1160,2026-10-03,PIP1010 Piping Spool Fitup,2026-10-06,,Open
Fittings,PR1090,2026-09-09,PO1090,2026-09-12,MR1090,2026-09-29,QC1160,2026-10-03,PIP1010 Piping Spool Fitup,2026-10-06,,Open
Piping Fasteners,PR1100,2026-09-16,PO1100,2026-09-19,MR1100,2026-10-13,,,ASSY1180 Flange Management,2026-12-12,,Open
Piping Gaskets,PR1110,2026-09-16,PO1110,2026-09-19,MR1110,2026-10-13,,,ASSY1180 Flange Management,2026-12-12,,Open
Tubes / Fittings / Valves (E&I),PR1120,2026-09-10,PO1120,2026-09-14,MR1120,2026-10-24,,,ASSY1150 Installation of JB's and other E&I items,2026-12-07,,Open
Misc.,PR1130,2026-09-12,PO1130,2026-09-15,MR1130,2026-09-26,,,General fabrication support,2026-10-07,,Open
Instrument Cables,PR1140,2026-09-15,PO1140,2026-09-18,MR1140,2026-10-12,,,ASSY1160 Installation of Cable Glands and Cables,2026-12-10,,Open
